Vendedor_Responsavel,total_vendas,total_comissao,carros_vendidos
JESSICA CHANDLER,70499.0,6442.129999999999,2
JESSICA CHANEY,60033.0,3422.04,2
JESSICA CHANG,43254.0,3574.3,1
JESSICA CHAPMAN,76518.0,7663.87,2
JESSICA CHASE,63880.0,4016.05,2
JESSICA CHAVEZ,67323.0,4858.63,3
JESSICA CHEN,86977.0,8681.04,3
JESSICA CHERRY,68747.0,5967.43,2
JESSICA CHRISTIAN,72474.0,5345.23,3
JESSICA CLARK,276201.0,24375.44,10
JESSICA CLAY,46689.0,2542.92,1
JESSICA CLAYTON,24877.0,2531.62,1
JESSICA COBB,55657.0,5121.74,2
JESSICA COFFEY,34806.0,5212.46,1
JESSICA COHEN,66959.0,7366.58,3
JESSICA COLE,66431.0,6677.469999999999,2
JESSICA COLEMAN,45249.0,5835.12,1
JESSICA COLLIER,26939.0,3142.76,1
JESSICA COLLINS,12170.0,1624.58,1
JESSICA COMPTON,20002.0,2830.22,1
JESSICA CONLEY,78711.0,4576.5,2
JESSICA CONNER,12184.0,1343.89,1
JESSICA CONRAD,45859.0,3836.99,2
JESSICA CONTRERAS,53070.0,4467.610000000001,2
JESSICA CONWAY,31096.0,2903.39,1
JESSICA COOK,161238.0,12251.26,5
JESSICA COOKE,23009.0,2879.98,1
JESSICA COOLEY,47561.0,2603.42,1
JESSICA COOPER,106642.0,12729.5,3
JESSICA COX,197130.0,25416.9,7
JESSICA CRAWFORD,43686.0,4698.33,2
JESSICA CROSBY,21845.0,1769.92,1
JESSICA CROSS,12528.0,815.14,1
JESSICA CRUZ,41289.0,4291.93,1
JESSICA CUMMINGS,48925.0,5156.87,2
JESSICA CUNNINGHAM,51365.0,6866.929999999999,2
JESSICA CURRY,24485.0,3102.48,1
JESSICA CURTIS,75122.0,9578.7,2
JESSICA DANIELS,91085.0,7592.71,3
JESSICA DAVIDSON,46016.0,2584.29,2
JESSICA DAVIES,23558.0,1679.02,1
JESSICA DAVIS,377172.0,36026.07,12
JESSICA DAVIS DVM,15544.0,1023.29,1
JESSICA DAY,58021.0,6513.34,3
JESSICA DEAN,12592.0,1887.61,1
JESSICA DELEON,34958.0,2177.16,1
JESSICA DELGADO,60493.0,4279.9,2
JESSICA DENNIS,16051.0,1675.04,1
JESSICA DIAZ,66327.0,6807.78,3
JESSICA DICKERSON,48012.0,4615.34,1
JESSICA DILLON,86182.0,5409.51,3
JESSICA DIXON,60180.0,5149.139999999999,2
JESSICA DONALDSON,49158.0,7263.71,1
JESSICA DONOVAN,46371.0,5442.15,1
JESSICA DOUGLAS,53336.0,5801.35,2
JESSICA DOYLE,68930.0,7395.809999999999,2
JESSICA DUKE,30289.0,3812.11,1
JESSICA DUNCAN,34038.0,4494.31,1
JESSICA DUNN,26811.0,1660.63,1
JESSICA DURAN,53964.0,4931.57,2
JESSICA DURHAM,21144.0,2284.38,1
JESSICA DYER,43681.0,2189.53,1
JESSICA EDWARDS,119453.0,11476.0,5
JESSICA ELLIOTT,14360.0,1252.88,1
JESSICA ELLIS,162020.0,15241.0,5
JESSICA ERICKSON,38063.0,3020.62,1
JESSICA ESCOBAR,34007.0,3203.2,1
JESSICA ESPINOZA,21729.0,2538.7,1
JESSICA EVANS,134163.0,13132.64,4
JESSICA EWING,16333.0,2074.76,1
JESSICA FARLEY,29486.0,3454.13,1
JESSICA FERRELL,28067.0,2676.51,1
JESSICA FIELDS,46605.0,6447.37,1
JESSICA FINLEY,33577.0,3040.35,1
JESSICA FISCHER,62621.0,6473.54,2
JESSICA FISHER,49204.0,2786.92,1
JESSICA FITZGERALD,28330.0,2686.63,1
JESSICA FLETCHER,57734.0,7752.82,2
JESSICA FLORES,133669.0,12314.04,4
JESSICA FLORES DDS,21228.0,2002.59,1
JESSICA FORBES,19337.0,1482.18,1
JESSICA FORD,15085.0,1930.31,1
JESSICA FOSTER,85087.0,5495.08,3
JESSICA FOX,19576.0,2166.07,1
JESSICA FRANKLIN,69466.0,6370.16,3
JESSICA FRAZIER,93478.0,12454.419999999998,2
JESSICA FREDERICK,34537.0,4516.69,1
JESSICA FREEMAN,127902.0,12737.74,4
JESSICA FRENCH,46987.0,4602.23,1
JESSICA FRIEDMAN,45519.0,4692.18,1
JESSICA FROST,28329.0,2153.28,1
JESSICA FRYE,17892.0,2385.52,1
JESSICA GAINES,44788.0,4163.09,1
JESSICA GALLAGHER,81233.0,8020.98,2
JESSICA GALLEGOS,48236.0,4085.44,1
JESSICA GARCIA,188185.0,14649.11,7
JESSICA GARDNER,23079.0,1193.88,2
JESSICA GARRETT,91851.0,8461.06,2
JESSICA GARZA,106495.0,12528.4,3
JESSICA GENTRY,11839.0,1687.51,1
JESSICA GIBBS,23392.0,3195.28,1
JESSICA GIBSON,72387.0,5676.780000000001,3
JESSICA GILBERT,55441.0,5368.01,2
JESSICA GILL,41246.0,4808.24,1
JESSICA GILLESPIE,102004.0,9264.95,3
JESSICA GLOVER,42700.0,6333.08,1
JESSICA GOLDEN,62063.0,5675.95,2
JESSICA GOMEZ,122767.0,12986.05,3
JESSICA GONZALES,58149.0,7734.860000000001,2
JESSICA GONZALEZ,86492.0,9889.82,3
JESSICA GOODWIN,77788.0,6557.05,3
JESSICA GORDON,57327.0,5060.030000000001,2
JESSICA GOULD,13592.0,1462.17,1
JESSICA GRAHAM,115830.0,10287.42,3
JESSICA GRANT,183403.0,17495.29,5
JESSICA GRAY,147863.0,11829.65,4
JESSICA GREEN,75245.0,7226.43,3
JESSICA GRIFFITH,49909.0,7141.32,2
JESSICA GRIFFITH MD,26488.0,1694.16,1
JESSICA GRIMES,85677.0,7635.450000000001,2
JESSICA GROSS,41942.0,4423.4,1
JESSICA GROSS DDS,37159.0,5411.11,1
JESSICA GUERRERO,13705.0,854.2,1
JESSICA GUTIERREZ,206262.0,19675.53,6
JESSICA GUZMAN,83980.0,9473.96,2
JESSICA HAAS,19484.0,977.91,1
JESSICA HAHN,39301.0,4310.31,1
JESSICA HALL,29103.0,2167.84,1
JESSICA HALL DVM,28170.0,2684.83,1
JESSICA HAMILTON,48523.0,3764.13,2
JESSICA HAMMOND,25324.0,2809.88,1
JESSICA HAMPTON,33534.0,3686.37,1
JESSICA HANCOCK,11261.0,1608.95,1
JESSICA HANSEN,37200.0,5361.69,1
JESSICA HANSON,13955.0,1392.69,1
JESSICA HARDY,28176.0,3983.32,1
JESSICA HARPER,72042.0,5784.41,2
JESSICA HARRIS,202874.0,19297.94,6
JESSICA HARRISON,107276.0,12790.99,3
JESSICA HARTMAN,79831.0,6973.22,3
JESSICA HARVEY,50159.0,4936.35,2
JESSICA HATFIELD,47410.0,4055.94,1
JESSICA HAWKINS,80656.0,6454.87,2
JESSICA HAWKINS DDS,22991.0,3106.28,1
JESSICA HAYES,58268.0,4201.45,2
JESSICA HAYNES,41637.0,4165.3,1
JESSICA HEBERT,45865.0,6717.16,1
JESSICA HENDERSON,45121.0,3333.86,1
JESSICA HENDRICKS,46783.0,5075.68,1
JESSICA HENDRIX,39163.0,4193.46,1
JESSICA HENRY,115488.0,11063.65,3
JESSICA HENSLEY,38148.0,4767.86,1
JESSICA HENSON,62897.0,5492.21,2
JESSICA HERNANDEZ,136065.0,16199.69,5
JESSICA HERNANDEZ PHD,35724.0,3064.52,1
JESSICA HERRERA,38396.0,3953.56,2
JESSICA HESTER,12915.0,1582.13,1
JESSICA HICKS,64002.0,6258.53,2
JESSICA HILL,347779.0,32435.48,10
JESSICA HO,40174.0,2917.27,1
JESSICA HOBBS,28676.0,4154.22,1
JESSICA HOLDEN,42586.0,2531.81,1
JESSICA HOLLAND,31463.0,3142.0,1
JESSICA HOLLOWAY,45912.0,4863.85,2
JESSICA HOLMES,93826.0,8834.67,3
JESSICA HOOD,40847.0,4810.43,1
JESSICA HOOVER,44003.0,4021.57,1
JESSICA HOPKINS,25447.0,2021.87,2
JESSICA HORN,13597.0,793.02,1
JESSICA HORTON,49766.0,5613.89,1
JESSICA HOUSTON,16563.0,1615.76,1
JESSICA HOWARD,84858.0,6053.68,3
JESSICA HOWELL,137754.0,14841.47,3
JESSICA HUANG,35420.0,4222.23,1
JESSICA HUDSON,72368.0,9931.13,2
JESSICA HUGHES,111781.0,11427.43,4
JESSICA HULL,19837.0,1018.31,1
JESSICA HUNT,102713.0,12214.56,3
JESSICA HUNTER,101660.0,13843.73,4
JESSICA HURST MD,33573.0,4577.77,1
JESSICA HUYNH,15082.0,1030.22,1
JESSICA IBARRA,17307.0,2245.74,1
JESSICA INGRAM,10319.0,953.97,1
JESSICA JACKSON,165230.0,17778.350000000002,6
JESSICA JACOBS,75707.0,4934.280000000001,2
JESSICA JAMES,88971.0,11686.99,5
JESSICA JEFFERSON,82505.0,8286.67,2
JESSICA JENKINS,97210.0,13045.13,3
JESSICA JENKINS MD,41998.0,2109.5,1
JESSICA JENNINGS,65708.0,7184.79,2
JESSICA JENSEN,87510.0,8191.23,4
JESSICA JIMENEZ,44752.0,3615.65,1
JESSICA JOHNS,65156.0,6569.4400000000005,2
JESSICA JOHNSON,431862.0,42824.95,13
JESSICA JOHNSON DDS,40266.0,2596.03,1
JESSICA JONES,556945.0,55221.86,21
JESSICA JORDAN,123326.0,10657.26,4
JESSICA JUAREZ,37576.0,3777.03,1
JESSICA KAISER,33317.0,4354.46,1
JESSICA KANE,31906.0,3936.66,1
JESSICA KELLER,26349.0,3577.4,1
JESSICA KELLEY,74846.0,6272.76,3
JESSICA KELLY,136909.0,12755.33,4
JESSICA KEMP,35424.0,2528.41,1
JESSICA KENNEDY,76438.0,8193.029999999999,3
JESSICA KENNEDY MD,40114.0,2239.57,1
JESSICA KIDD,25152.0,2542.91,1
JESSICA KIM,227249.0,21667.55,7
JESSICA KING,231442.0,26133.92,8
JESSICA KIRBY,26281.0,1821.29,1
JESSICA KIRK,28191.0,2975.63,1
JESSICA KNAPP,43278.0,3817.82,1
JESSICA KNIGHT,47136.0,6993.75,1
JESSICA KOCH,21577.0,3115.82,1
JESSICA KOCH PHD,36042.0,3099.03,1
JESSICA KRAUSE,30870.0,2256.34,1
JESSICA KRUEGER,40642.0,3397.87,1
JESSICA LAM,21436.0,1310.3,1
JESSICA LAMB,57885.0,5570.75,2
JESSICA LAMBERT,12552.0,748.19,1
JESSICA LANE,60509.0,5665.25,2
JESSICA LANG,31396.0,3537.7,1
JESSICA LANG MD,48894.0,3679.99,1
JESSICA LARSON,28099.0,1456.11,1
JESSICA LAWRENCE,42104.0,3152.47,1
JESSICA LAWSON,90139.0,7382.6,2
JESSICA LE,31610.0,4707.5,1
JESSICA LEACH,31766.0,4524.07,1
JESSICA LEBLANC,31887.0,2831.23,1
JESSICA LEE,193719.0,18201.79,8
JESSICA LEONARD,84530.0,9429.42,2
JESSICA LESTER,87956.0,9464.48,3
JESSICA LEWIS,342563.0,34095.38,11
JESSICA LEWIS MD,45136.0,6729.98,1
JESSICA LI,28828.0,3350.8,1
JESSICA LINDSEY,27204.0,1768.82,1
JESSICA LITTLE,71330.0,7235.1,2
JESSICA LIU,49537.0,4500.65,1
JESSICA LIVINGSTON,26225.0,1361.35,1
JESSICA LLOYD,12921.0,886.1,1
JESSICA LOGAN,21318.0,1156.1,1
JESSICA LONG,26578.0,2127.93,1
JESSICA LOPEZ,482893.0,47059.55,13
JESSICA LOVE,37275.0,2935.32,1
JESSICA LOWE,118611.0,9602.07,3
JESSICA LUNA,21062.0,3143.97,1
JESSICA LUTZ DDS,40749.0,5528.47,1
JESSICA LYNN,73429.0,5667.57,2
JESSICA LYONS,45519.0,2936.82,1
JESSICA MACDONALD,98627.0,11901.09,3
JESSICA MACIAS,43190.0,5262.54,1
JESSICA MACK,18188.0,1437.34,1
JESSICA MADDEN,51697.0,5296.02,2
JESSICA MADDOX,45612.0,5736.18,1
JESSICA MALDONADO,24252.0,1630.41,1
JESSICA MALONE,35459.0,2307.37,1
JESSICA MANN,85900.0,8355.98,2
JESSICA MANNING,44698.0,6609.46,1
JESSICA MARSHALL,19437.0,1020.28,1
JESSICA MARTIN,270581.0,24728.28,9
JESSICA MARTINEZ,242182.0,27367.13,8
JESSICA MASON,47082.0,3708.2,2
JESSICA MATHEWS,15464.0,863.08,1
JESSICA MATHIS,14942.0,2005.41,1
JESSICA MATTHEWS,39154.0,3304.2699999999995,2
JESSICA MAXWELL,63003.0,6181.9,2
JESSICA MAY,55130.0,7115.27,2
JESSICA MAYO,26988.0,2437.09,1
JESSICA MCBRIDE,44965.0,2993.22,1
JESSICA MCCALL,10321.0,719.95,1
JESSICA MCCARTHY,41766.0,5431.12,1
JESSICA MCCONNELL,37996.0,4834.76,1
JESSICA MCCORMICK,24386.0,3627.0,1
JESSICA MCCOY,26380.0,3453.66,1
JESSICA MCDANIEL,27229.0,1838.87,1
JESSICA MCDONALD,91270.0,6930.700000000001,2
JESSICA MCKENZIE,79635.0,10461.1,3
JESSICA MCKINNEY,37056.0,2474.47,1
JESSICA MEDINA,22405.0,2123.15,1
JESSICA MEJIA,30216.0,4523.81,1
JESSICA MENDOZA,64606.0,8781.76,2
JESSICA MEYER,100468.0,10107.19,4
JESSICA MICHAEL,26363.0,1444.05,1
JESSICA MILES,61132.0,7092.9400000000005,2
JESSICA MILLER,360215.0,37311.65,10
JESSICA MILLS,84513.0,7638.009999999999,4
JESSICA MIRANDA,41870.0,2887.96,1
JESSICA MITCHELL,205317.0,21469.61,8
JESSICA MONTGOMERY,75592.0,6890.39,2
JESSICA MOON,26826.0,1510.22,1
JESSICA MOORE,395539.0,34485.41,11
JESSICA MORALES,212591.0,20267.87,6
JESSICA MORENO,24238.0,2336.31,1
JESSICA MORGAN,76146.0,5599.21,3
JESSICA MORRIS,112501.0,9920.31,3
JESSICA MORRISON,30936.0,1706.14,1
JESSICA MORROW,14322.0,1198.31,1
JESSICA MORSE,31710.0,2827.2200000000003,2
JESSICA MOSES,49090.0,2620.0,1
JESSICA MOSS,12782.0,678.66,1
JESSICA MULLINS,38654.0,3321.21,1
JESSICA MUNOZ,91125.0,10596.14,4
JESSICA MURPHY,117709.0,12300.95,4
JESSICA MURRAY,19950.0,2403.46,1
JESSICA MYERS,117629.0,13654.58,4
JESSICA NAVARRO,111495.0,8565.79,4
JESSICA NEAL,11650.0,1316.85,1
JESSICA NELSON,162602.0,18957.9,5
JESSICA NGUYEN,94602.0,9944.03,4
JESSICA NICHOLS,45071.0,5137.9,2
JESSICA NICHOLSON,29489.0,3791.79,1
JESSICA NOBLE,18390.0,2563.06,1
JESSICA NOLAN,75135.0,5528.33,2
JESSICA NORMAN,23444.0,2182.74,1
JESSICA NORTON,49923.0,5346.71,1
JESSICA NOVAK,13477.0,1133.13,1
JESSICA OBRIEN,72024.0,8509.11,2
JESSICA OCHOA,55292.0,3029.63,2
JESSICA ODONNELL,52715.0,5736.46,2
JESSICA OLIVER,59526.0,5632.3,2
JESSICA OLSON,168894.0,17814.83,4
JESSICA ORTEGA,113903.0,10703.11,3
JESSICA ORTIZ,167812.0,18798.44,6
JESSICA OWEN,32243.0,4319.78,1
JESSICA OWENS,111090.0,12411.08,3
JESSICA PACE,85625.0,9545.38,2
JESSICA PACHECO,21938.0,1866.96,1
JESSICA PAGE,69236.0,6323.46,2
JESSICA PALMER,96466.0,10965.79,3
JESSICA PARK,118590.0,12675.05,3
JESSICA PARKER,134709.0,15768.67,6
JESSICA PARKS,13495.0,1123.2,1
JESSICA PATEL,88392.0,7656.24,3
JESSICA PAUL,59212.0,3393.9700000000003,2
JESSICA PAYNE,96005.0,7257.15,2
JESSICA PENNINGTON,47941.0,4934.97,1
JESSICA PEREZ,96964.0,10315.22,3
JESSICA PERKINS,85097.0,9477.69,2
JESSICA PERRY,14232.0,940.02,1
JESSICA PETERS,19487.0,2357.5,1
JESSICA PETERSON,137769.0,13253.13,4
JESSICA PHAM,48511.0,3088.07,1
JESSICA PHILLIPS,111261.0,10554.62,4
JESSICA PIERCE,115647.0,9663.76,3
JESSICA PITTS,17577.0,1295.87,1
JESSICA PONCE,43791.0,4620.99,2
JESSICA POOLE,40317.0,3018.11,1
JESSICA POPE,78655.0,6271.48,3
JESSICA PORTER,158417.0,15758.89,5
JESSICA POTTER,12533.0,1688.15,1
JESSICA POTTS,41490.0,5841.0,1
JESSICA POWELL,95322.0,8744.59,3
JESSICA POWELL MD,24508.0,2014.69,1
JESSICA PRATT,42388.0,5678.78,1
JESSICA PRESTON,16170.0,963.63,1
JESSICA PRICE,104393.0,10060.21,3
JESSICA PRICE MD,34007.0,4603.58,1
JESSICA PRINCE,18654.0,1201.71,1
JESSICA PRUITT,35168.0,2413.63,1
JESSICA PUGH,76452.0,7526.32,2
JESSICA QUINN,15102.0,1133.79,1
JESSICA RAMIREZ,130318.0,9382.3,4
JESSICA RAMOS,96350.0,6849.110000000001,3
JESSICA RAMSEY,34551.0,1812.2,1
JESSICA RANDOLPH,29322.0,2488.04,2
JESSICA RANGEL,40464.0,4734.43,2
JESSICA RAY,144188.0,11736.36,4
JESSICA RAYMOND,44851.0,6638.53,1
JESSICA REED,101760.0,9614.46,3
JESSICA REESE,32283.0,2588.19,1
JESSICA REEVES,86279.0,11298.21,2
JESSICA REID,52630.0,5734.76,2
JESSICA REYES,120912.0,11115.7,3
JESSICA REYNOLDS,70970.0,7489.57,2
JESSICA RHODES,30464.0,2484.84,1
JESSICA RICE,63812.0,6119.65,3
JESSICA RICHARDS,70165.0,8162.179999999999,3
JESSICA RIDDLE,38693.0,4273.01,2
JESSICA RILEY,37326.0,3540.19,1
JESSICA RIOS,53374.0,3886.01,2
JESSICA RIVERA,56354.0,4068.1,3
JESSICA ROBBINS,34479.0,3036.28,1
JESSICA ROBERSON,40491.0,4892.7,2
JESSICA ROBERTS,207446.0,23986.34,6
JESSICA ROBERTS MD,17713.0,1992.06,1
JESSICA ROBINSON,126527.0,11091.67,3
JESSICA ROBLES,17352.0,1531.22,1
JESSICA ROCHA,40401.0,2879.77,1
JESSICA RODRIGUEZ,396137.0,44965.99,12
JESSICA ROGERS,229096.0,24843.39,8
JESSICA ROLLINS,20195.0,1238.73,1
JESSICA ROMAN,20037.0,2303.66,1
JESSICA ROMERO,15586.0,1694.35,1
JESSICA ROSALES,18241.0,1074.75,1
JESSICA ROSE,41218.0,3341.81,1
JESSICA ROSS,139667.0,15925.53,4
JESSICA ROTH,80084.0,7907.9,3
JESSICA ROY,44565.0,3765.45,1
JESSICA RUIZ,125534.0,12736.71,4
JESSICA RUSH,37038.0,5227.48,1
JESSICA RUSSELL,130775.0,8339.76,4
JESSICA RYAN,27846.0,2270.78,2
JESSICA SALAS,18320.0,1840.83,1
JESSICA SALINAS,34881.0,1910.59,1
JESSICA SAMPSON,15485.0,968.61,1
JESSICA SANCHEZ,200193.0,22504.66,7
JESSICA SANDERS,58948.0,4194.34,3
JESSICA SANDOVAL,68963.0,7416.02,2
JESSICA SANTANA,33994.0,2239.92,1
JESSICA SANTIAGO DDS,21950.0,2988.86,1
JESSICA SANTOS,55317.0,5170.52,2
JESSICA SAWYER,45118.0,3068.18,1
JESSICA SCHMITT,40474.0,4039.09,1
JESSICA SCHULTZ,60310.0,7282.97,2
JESSICA SCOTT,288992.0,29541.53,10
JESSICA SHAH,48800.0,7152.09,1
JESSICA SHANNON,21290.0,1631.77,1
JESSICA SHARP,34844.0,4251.6,1
JESSICA SHAW,95058.0,9526.66,3
JESSICA SHEA,37191.0,3618.86,2
JESSICA SHELTON,48095.0,6590.12,1
JESSICA SHERMAN,54222.0,5060.17,2
JESSICA SHORT,14040.0,2054.86,1
JESSICA SIMMONS,28506.0,2986.5,1
JESSICA SIMPSON,154371.0,15566.29,4
JESSICA SIMS,17127.0,1735.59,1
JESSICA SINGH,22043.0,2229.38,1
JESSICA SLOAN,45112.0,2992.42,2
JESSICA SMALL,31947.0,3627.82,1
JESSICA SMITH,1085234.0,114902.26,34
JESSICA SMITH DVM,25549.0,2526.89,1
JESSICA SNOW,75733.0,6560.259999999999,2
JESSICA SNYDER,20434.0,2327.8,1
JESSICA SPARKS,45836.0,5781.96,1
JESSICA SPENCER,65767.0,5509.01,2
JESSICA STANLEY,75471.0,9119.34,2
JESSICA STANTON,23550.0,2256.72,1
JESSICA STARK,19999.0,2599.68,1
JESSICA STEELE,35949.0,3602.13,1
JESSICA STEPHENS,123723.0,12424.94,4
JESSICA STEVENS,101780.0,9953.32,4
JESSICA STEVENSON,44812.0,3112.95,1
JESSICA STEWART,81111.0,8425.7,4
JESSICA STOKES,38198.0,4590.22,1
JESSICA STONE,147422.0,13222.46,4
JESSICA SULLIVAN,19680.0,1485.93,1
JESSICA SWANSON,12803.0,1135.77,1
JESSICA SWEENEY,14753.0,2161.51,1
JESSICA TATE,46458.0,3820.52,1
JESSICA TAYLOR,359026.0,30540.8,12
JESSICA TERRELL,11840.0,691.67,1
JESSICA TERRY,59281.0,7161.24,2
JESSICA THOMAS,322286.0,30026.67,12
JESSICA THOMPSON,335080.0,40882.71,10
JESSICA THORNTON,26764.0,3692.36,1
JESSICA TORRES,113324.0,11949.69,4
JESSICA TOWNSEND,24167.0,1576.42,1
JESSICA TRAN,47243.0,4011.09,2
JESSICA TREVINO,24350.0,3217.6,2
JESSICA TUCKER,28562.0,2378.84,1
JESSICA TURNER,228352.0,24229.42,6
JESSICA UNDERWOOD,33369.0,4001.02,1
JESSICA VALDEZ,56402.0,6009.87,2
JESSICA VANG,39849.0,3847.64,1
JESSICA VARGAS,134545.0,10410.88,4
JESSICA VASQUEZ,115413.0,12071.94,4
JESSICA VAUGHAN,70542.0,4931.66,2
JESSICA VAUGHN,62096.0,6410.08,2
JESSICA VAZQUEZ,48845.0,7096.5,1
JESSICA VEGA,17939.0,1949.47,1
JESSICA VELASQUEZ,26001.0,2550.12,1
JESSICA VELAZQUEZ,42882.0,6147.66,1
JESSICA VILLARREAL,58944.0,5546.01,2
JESSICA WADE,20886.0,2780.3,1
JESSICA WAGNER,68916.0,7533.18,2
JESSICA WALKER,60164.0,5937.889999999999,2
JESSICA WALL,49152.0,4208.25,1
JESSICA WALLER,20728.0,1298.24,1
JESSICA WALLS,11652.0,1103.53,1
JESSICA WALSH,36746.0,4642.58,1
JESSICA WANG,16208.0,2156.77,1
JESSICA WARD,152389.0,17695.489999999998,4
JESSICA WARE,34784.0,2343.25,1
JESSICA WARREN,67207.0,4290.84,2
JESSICA WASHINGTON,113163.0,8814.33,4
JESSICA WATERS,43767.0,2490.29,1
JESSICA WATKINS,28978.0,4283.27,1
JESSICA WATSON,85693.0,9664.34,2
JESSICA WATTS,26243.0,3399.81,1
JESSICA WEAVER,82448.0,7193.9400000000005,2
JESSICA WEBB,30207.0,3260.48,1
JESSICA WEBSTER,95829.0,6594.15,3
JESSICA WELCH,13425.0,1477.77,1
JESSICA WELLS,17190.0,2053.78,1
JESSICA WEST,68264.0,7942.360000000001,2
JESSICA WHEELER,44085.0,4738.65,2
JESSICA WHITAKER,35452.0,2827.87,1
JESSICA WHITE,103070.0,5653.01,3
JESSICA WILCOX,27758.0,2183.58,1
JESSICA WILKINS,32062.0,3343.93,1
JESSICA WILKINSON,31394.0,3195.0,2
JESSICA WILLIAMS,635926.0,63500.31,21
JESSICA WILLIAMSON,115482.0,14545.79,3
JESSICA WILLIS,139791.0,15800.77,5
JESSICA WILSON,188848.0,15186.02,6
JESSICA WILSON DVM,29047.0,3822.03,1
JESSICA WINTERS,64020.0,6974.65,2
JESSICA WISE,63424.0,6208.84,2
JESSICA WOLF,23090.0,2152.7,1
JESSICA WOLFE,38736.0,3046.79,1
JESSICA WONG,26771.0,2148.82,1
JESSICA WOOD,25976.0,2249.0,1
JESSICA WOODARD,38316.0,3601.96,1
JESSICA WOODS,139372.0,15651.93,5
JESSICA WRIGHT,148587.0,14109.02,6
JESSICA YATES,75348.0,8007.71,3
JESSICA YODER,66511.0,8034.35,2
JESSICA YOUNG,144735.0,13385.02,7
JESSICA YU,31787.0,2091.53,1
JESSICA ZAMORA,63854.0,4520.18,2
JESSICA ZIMMERMAN,21102.0,1173.61,1
JESUS ALEXANDER,49800.0,5641.63,1
JESUS BAILEY,26076.0,1978.41,1
JESUS BAKER,14296.0,970.26,1
JESUS BARKER,15361.0,1146.93,1
JESUS BARNETT,48240.0,3145.2,2
JESUS BECK,35194.0,3510.66,1
JESUS BENTON,23819.0,2255.35,1
JESUS BERGER,79269.0,4758.56,2
JESUS BOLTON,29576.0,3199.03,1
JESUS BOYD,20260.0,2343.07,1
JESUS BRAY,13720.0,1574.42,1
JESUS BRIGHT,16355.0,1625.94,1
JESUS BROWN,42406.0,6239.64,1
JESUS BURGESS,55400.0,5591.27,2
JESUS CARROLL,24299.0,3597.98,1
JESUS CARTER,86666.0,10821.74,2
JESUS CHUNG,33560.0,2137.68,1
JESUS COLLINS,20660.0,2990.07,1
JESUS COX,15939.0,1208.32,1
JESUS DAUGHERTY,43245.0,2590.53,1
JESUS DAVID,41763.0,5956.74,1
JESUS DAVIDSON,48982.0,6781.39,1
JESUS DAVIS,71591.0,7057.56,3
JESUS DIAZ,47284.0,5204.68,1
JESUS DUNN,40856.0,3656.85,1
JESUS ELLIOTT,37315.0,2796.56,2
JESUS ESTRADA,29969.0,1560.83,1
JESUS EVERETT,18963.0,2217.49,1
JESUS FERNANDEZ,34616.0,4237.07,1
JESUS FRANCO,13954.0,771.37,1
JESUS FRITZ,34271.0,1724.16,1
JESUS GARCIA,48952.0,3974.56,1
JESUS GARRETT,10783.0,848.57,1
JESUS GIBSON,74426.0,7979.14,2
JESUS GONZALES,44839.0,3807.36,1
JESUS GREEN,22205.0,2548.22,1
JESUS HALL,22969.0,1517.56,1
JESUS HAWKINS,20720.0,2977.29,1
JESUS HENDRICKS,29247.0,3749.6,1
JESUS HOWARD,37542.0,5538.82,1
JESUS HUGHES,49477.0,4575.87,1
JESUS HUNT,32241.0,3551.95,1
JESUS JACKSON,38894.0,3184.78,1
JESUS JENNINGS,24657.0,3546.46,1
JESUS JOHNSON,78789.0,9994.02,2
JESUS JOYCE,17025.0,1565.96,1
JESUS JUAREZ,14092.0,1470.87,1
JESUS KENNEDY,41430.0,6190.38,1
JESUS KIM,46571.0,6757.44,1
JESUS KRUEGER,28967.0,3961.6,1
JESUS LEE,32312.0,3689.87,1
JESUS LITTLE,11506.0,979.62,1
JESUS LOGAN,40599.0,3102.31,1
JESUS MAHONEY,16644.0,1610.83,1
JESUS MARSH,28884.0,3109.04,1
JESUS MATHEWS,28405.0,3213.19,1
JESUS MCCOY,45426.0,3992.89,1
JESUS MCCULLOUGH,48597.0,5108.56,1
JESUS MILLER,46492.0,5114.57,2
JESUS MITCHELL,24742.0,1709.66,1
JESUS MOORE,82389.0,7691.04,3
JESUS MORALES,49989.0,7489.19,1
JESUS MORRISON,12162.0,1456.64,1
JESUS NEWMAN,13279.0,891.3,1
JESUS NGUYEN,72286.0,7270.33,2
JESUS OWENS,33518.0,3828.18,1
JESUS PARK,24764.0,3338.38,1
JESUS PEREZ,64508.0,5325.34,2
JESUS PERKINS,36383.0,3237.65,1
JESUS PIERCE,39285.0,5796.21,1
JESUS PONCE,18682.0,2791.18,1
JESUS POWELL,43216.0,5589.79,1
JESUS PRICE,25610.0,3180.78,1
JESUS REILLY,22967.0,1735.96,1
JESUS RICHARDS,33245.0,4111.59,1
JESUS RICHARDSON,47242.0,6277.14,2
JESUS RIVERS,25949.0,2920.13,1
JESUS ROBERTS,38172.0,2322.05,1
JESUS ROBERTSON,29650.0,3453.37,1
JESUS ROBINSON,30450.0,4021.0,1
JESUS RODRIGUEZ,74542.0,5571.05,2
JESUS ROMAN,38608.0,5616.12,1
JESUS ROSS,42361.0,3169.85,1
JESUS SANCHEZ,27238.0,3061.97,1
JESUS SANTANA,44108.0,3784.51,1
JESUS SCHMIDT,10227.0,647.02,1
